secucode,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1
301086,0.184002813379181,0.016723976242575805,0.01625507971241013,0.0003516723976242576,0.09397467958737106,0.06705220381369179,0.002735229759299781,0.0012113160362613317,0.08944201312910284,0.0019537355423569864,0.0901844326351985,0.0006251953735542357,0.19920287589871835,0.109057517974367,0.11464520162550797,0.012582056892778994
301133,0.11615755949564269,0.020073034578720686,0.009386901785992099,0.0005248735579880392,0.09367838513526547,0.08041659867573613,0.0028299244945170564,0.0009996250702025424,0.09905664959748196,0.00399850028081017,0.0739014366864935,0.0011826550126339938,0.2591611061935502,0.10497823140419305,0.11466121932013387,0.01899329871063853
301310,0.1772686886151334,0.006483682731791658,0.0103258650913719,0.0,0.08572869389813415,0.05955382657349374,0.002401363974737651,0.0,0.10205796892635016,0.002401363974737651,0.06965396345124031,0.0002401363974737651,0.2564656725019811,0.13762216939221478,0.07035996445981317,0.01943664001152655
301469,0.18235536492069482,0.02525894363940332,0.022259444082224175,0.001894420772955249,0.07530322572497115,0.0707250421903293,0.0022101575684477905,0.0009472103864776245,0.06977783180385168,0.0029994995571791445,0.06713827219353402,0.000631473590985083,0.2326980182780031,0.0502021504833141,0.18206646575281912,0.013532479054810328
301518,0.12159568756877888,0.021154077448428184,0.019803817185762556,0.0011152149576830934,0.08752687080434754,0.09144262556607786,0.004535874289769353,0.0019253711152824708,0.09274287618938551,0.00600115672295835,0.07340664913162012,0.0016853248463641367,0.21164079376299783,0.12764960446125992,0.11146898564698346,0.026305070302300768
600037,0.05432648024886603,0.01704158773743939,0.015965485479918665,0.00010427347456596166,0.09490172225022159,0.06393128378026103,0.0039971498583618635,0.00026062575670681196,0.08387514989311969,0.006286705711289921,0.11189244770395602,0.0011817660450808988,0.22450079074051546,0.14627245500309924,0.1615241885496139,0.013937887766983542
600054,0.08075707629321878,0.02288496476647377,0.014348624285471493,0.00022436377444934118,0.09762923213180923,0.056259356670531335,0.004939648949220308,7.712504746696103e-05,0.1030320520479084,0.005623257324495644,0.08009085611046327,0.0007291822669603589,0.2871373930836501,0.10038133428014846,0.14096355266575014,0.004921980301982422
600066,0.0,0.0,0.0,0.17010530928127623,0.0,0.0,0.0,0.19647757316248743,0.0,0.0,0.0,0.2021098738687087,0.0,0.0,0.0,0.4313072436875276
600119,0.054402197822770115,0.012889275785571874,0.013020321436260331,0.0003276141267211442,0.05775415835930845,0.07165388971572455,0.002780039875319424,0.0009173195548192038,0.10800033697453035,0.007582394952870368,0.07431224434397611,0.0005241826027538308,0.2600034633493396,0.15681484185598082,0.15943575486974998,0.01958196437430382
600227,0.03288739446473292,0.013120794424264242,0.02023434002518688,0.0001103430723753109,0.11794298731083329,0.06153560871257435,0.0082436306252755,0.00017912836424563457,0.07659419945097873,0.006401331224681997,0.09256580029680854,0.00020492284869700594,0.24072358687782988,0.14095848864956703,0.18344091544052107,0.004856528211427644
600233,0.0,0.0,0.0,0.12726772958274596,0.0,0.0,0.0,0.21544643874118846,0.0,0.0,0.0,0.16501280335105206,0.0,0.0,0.0,0.4922730283250135
600355,0.04478300644447566,0.01600554060317363,0.017793610136511605,0.0,0.092312190678599,0.08573357986371252,0.010017192910477958,0.0,0.12032796045613481,0.007656311512474826,0.07932640199040146,0.0,0.2448823759579158,0.08439907193528115,0.18945718205648013,0.007305575454361455
600375,0.0,0.0590920620299121,0.0,0.018283575770761517,0.0,0.20205050809377847,0.0,0.008362684429692737,0.0,0.12565226864015774,0.0,0.06332709630539307,0.0,0.421776215117871,0.0,0.10145558961243337
600391,0.09997070960398466,0.026101346705169066,0.016075614209445924,0.0005248568072113874,0.11487470797281676,0.08383559549842168,0.00462212607640996,0.000939662993555871,0.08488893715529061,0.0074810235239853515,0.0730414436126015,0.001544336734582815,0.23951005947329046,0.13243685210720332,0.09342451168362696,0.02072821584240364
600439,0.05409906429736458,0.009915674504909633,0.013529058288265087,6.603406036833799e-05,0.0961178575909454,0.07008855167495394,0.0030151151964183127,5.943065433150419e-05,0.09687989064759603,0.004232783269610465,0.056567417473933054,3.962043622100279e-05,0.3543057509063175,0.14532379801501616,0.09391099929343555,0.0018489536903134637
600480,0.06223043590211954,0.018249041024140003,0.0138899097913471,0.0006551626242597235,0.09233776637301355,0.07383508916329769,0.006600592881461121,0.00100090010585597,0.07457696125143323,0.004460035520069719,0.1332615522754632,0.000936418194902628,0.1954356490335416,0.08163850076255912,0.22556234608519976,0.015329639011336053
600533,0.052206918455140784,0.011840109293192742,0.018451233662766908,0.00015692869775617312,0.12338619456398187,0.06035719144468197,0.005619214285372261,5.633337868170317e-05,0.1087898540044039,0.0041344273758330856,0.06485983792645525,0.00012876200841532154,0.32503152355513837,0.10543596582833345,0.11668055083260533,0.0028649546872409042
600577,0.0,0.0,0.0,0.0825453177715057,0.0,0.0,0.0,0.19809726583756476,0.0,0.0,0.0,0.18380880299568636,0.0,0.0,0.0,0.5355486133952432
600598,0.0,0.0,0.08006204018326343,0.01733655779022663,0.0,0.0,0.11053458638177162,0.09909429495617392,0.0,0.0,0.18646585238926133,0.0070254385159335105,0.0,0.0,0.31582840991418454,0.183652819869185
600710,0.07896524479526339,0.018246447277556692,0.02478831074391339,8.215472598582151e-05,0.1210725933242478,0.09839871049942092,0.006750301742572157,0.0005038431980816168,0.07398807676725379,0.007229615886752292,0.07135595671056233,0.00048037041922852487,0.2022395847759312,0.16447376142361464,0.12077061602430278,0.01065441168531266
600725,0.04542629520781902,0.011746061704935133,0.008737372355460899,1.3960139891769828e-05,0.07655601115247655,0.08467662452751906,0.0025703409568726605,0.000160541608755353,0.07577424331853745,0.003967471757240985,0.07487018465914644,0.0,0.3245662724137026,0.1573084403564191,0.1300872843786593,0.0035388954625636512
600827,0.07586532883570032,0.015288306219273282,0.023478842308741543,0.00018125955860953606,0.10854739084548079,0.06551126719573103,0.005325801686156627,0.0005729468806623266,0.07673685917030781,0.006823276487887707,0.0794806236526796,0.00036460256042148055,0.27183256408703843,0.09863801411402555,0.16058411934483524,0.01076879705244873
600862,0.06908518661431447,0.022248139086299547,0.02215252380505911,0.0002888055959797436,0.12474359478181923,0.08047815479629251,0.00819609652419371,0.00039896430187487435,0.06396425081817078,0.005141358477573678,0.1278895128808843,0.0007896770152931846,0.1828636580756285,0.1178432039350175,0.14991527165827945,0.02400160163331942
601077,0.0,0.0,0.0,0.08577536038153522,0.0,0.0,0.0,0.20540794286970757,0.0,0.0,0.0,0.16756679825512094,0.0,0.0,0.0,0.5412498984936363
601388,0.0,0.052799781759920054,0.0,0.019102889934881497,0.0,0.1801159312044534,0.0,0.011351039147162505,0.0,0.12089125983403384,0.0,0.07929146748991985,0.0,0.38940508259849244,0.0,0.1470425480311364
601778,0.0,0.05350873183723839,0.0,0.018325847318538587,0.0,0.1631729622596823,0.0,0.01170685292370082,0.0,0.0797935771239576,0.0,0.0838156653689061,0.0,0.3532020891590595,0.0,0.23647427400891674
601878,0.047263016968187355,0.01809568031365305,0.021585459289980978,0.0,0.10183728850036013,0.09667655149100075,0.007884338141658637,0.00022960079233702764,0.057574618152835606,0.005363091841005737,0.10740357704258413,7.653359744567588e-06,0.23387427535119928,0.14805485652743955,0.1487072289120665,0.005442763315946686
603118,0.0,0.07142005549554276,0.0,0.028840906260915337,0.0,0.18275648342813877,0.0,0.010826860089232395,0.0,0.09239532133263649,0.0,0.09933823496130595,0.0,0.3676053893831959,0.0,0.14681674904903236
603181,0.06426887624747682,0.013494628968281975,0.018209279674773794,0.0006775545925497226,0.11254464096664456,0.07276654009570459,0.006422652908544246,0.0010304476095027032,0.0686842736755925,0.005999181288200669,0.09154327174173878,0.0011151419335714186,0.23884081701791285,0.14472848411275638,0.14282003867707466,0.01685417048967435
