secucode,total_volume,total_trades,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_VolumeLongBig,验证_VolumeBigOrigin,订单类型总和
002046,32143358,59694,0.17627392881602477,0.2211854467725494,0.44079234036468745,0.26749697402492917,0.26193557623942093,0.028102477656503717,1.279044056317949,0.043332964776113314,0.5856375055773575,0.6289704703534709,0.08943300821276981,0.08629201093426518,0.03508385775997642,0.03783783262470586,0.002534582727790917,0.10027829077472242,0.10701035031871903,0.010542146841036335,0.0033546588380716164,0.07762851037530055,0.00617545932817598,0.09058117076629019,0.0018887883462580357,0.17826615999485804,0.11366590883254948,0.1285358237928968,0.020324447744383148,0.6289704703534709,1.279044056317949,1.0
002114,75656056,70334,0.19120193101263433,0.18039736303462608,0.4720873104989771,0.2707246330683693,0.2534860527226003,0.02285145553979182,1.3157739150452148,0.10048801645171668,0.5699135968705533,0.67040161332227,0.083452428448028,0.08383627610722927,0.03179471845584972,0.03922496303534512,0.001457437855338375,0.08738864209363491,0.08587724953571463,0.0061115927058106225,0.0010198786994659093,0.07050526133691135,0.008695919861326104,0.11008202700917954,0.0019187228052173378,0.21120767913146304,0.12711816486970984,0.11530605031803402,0.018455416179770198,0.67040161332227,1.3157739150452148,0.9999999999999999
002153,80845837,72839,0.20161337435346238,0.20918464855524965,0.4324648280900351,0.27579013128406354,0.23884439467179985,0.018227976290232484,1.2757276790887824,0.02166680518132308,0.5510904785363283,0.5727572837176513,0.08119476578614679,0.07873810496884336,0.037534523886492754,0.03899041826977436,0.001474101876142367,0.11884425168360864,0.08151875525761457,0.007753930483767519,0.0010677111302589395,0.08077269334226819,0.00844998363985025,0.11062701966954712,0.0017636777017968161,0.18878244775918393,0.1113411318878423,0.11841876286097452,0.01392248558203436,0.5727572837176513,1.2757276790887824,1.0000000000000002
002172,15256101,18935,0.16739526042728742,0.2685876293031883,0.4608452054689465,0.2308780598660169,0.2299801240172702,0.01336521041647535,1.3576733006683686,0.024862315738470753,0.4875886047162378,0.5124509204547085,0.0816381721646966,0.04925249249464198,0.0164589890955756,0.03689015954994005,0.0005702636604201821,0.1717739021261068,0.08620813404420959,0.009963227170559502,0.000642365962312389,0.08294386619490786,0.00636466683066663,0.07803428936397314,5.2438037739786856e-05,0.22180634488458092,0.12094833404681839,0.10599038378154418,0.012100142756002992,0.5124509204547085,1.3576733006683686,1.0
002215,13056336,16163,0.20280858274480681,0.18322138768487575,0.4651458111984863,0.3098265087540639,0.2775217335093092,0.0232760553956332,1.3163215928266552,0.07911584076880374,0.6339003530546395,0.7130161938234433,0.09912275541928454,0.07545148960627239,0.03863105238713219,0.03232905464442704,0.0024126217339994925,0.07593248212974911,0.09669634727537649,0.008938189090721929,0.0016543691890282236,0.08588167461376607,0.008175111302282661,0.10726592820527903,0.0014858686234790527,0.1521100559912061,0.13401922254451784,0.16129333681363592,0.017723195849126433,0.7130161938234433,1.3163215928266552,0.9999999999999999
002448,10420200,15493,0.21357555517168578,0.16903706262835647,0.49980806510431663,0.38546285100094047,0.28105026774917946,0.050325329648183335,1.3822287480086755,0.11719544730427439,0.7671637780464865,0.8843592253507608,0.1096696800445289,0.05379935126005259,0.030786357267614826,0.031016679142434885,0.0019769294255388573,0.05616974722174239,0.10330895760158154,0.008224410280033012,0.0013339475249995202,0.059211915318324024,0.007629412103414522,0.14413350991343737,0.002600717836509856,0.1139805378015777,0.13932554077656858,0.20208825166503522,0.044413734861135104,0.8843592253507608,1.3822287480086755,1.0
002495,87363489,44609,0.24279825866386814,0.20394340020005383,0.42762340913376296,0.28004699995440885,0.2582308382853162,0.0094246808297686,1.3019884771314478,-0.01911824973015902,0.5571271998992623,0.5380089501691032,0.08458343507778175,0.06136643649843243,0.0309188658891588,0.03274846314803201,0.0006011664666918236,0.1175147663802667,0.07973773803836978,0.006334602776681687,0.0003562930047356511,0.09448615313429161,0.019611854100744536,0.12684043559661404,0.0018598158322179646,0.1789301249175156,0.12796238025704307,0.11412349843308113,0.006607405526123161,0.5380089501691032,1.3019884771314478,1.0
002554,40386921,27603,0.133807031241624,0.207457731179854,0.5752446194152805,0.25434008698013894,0.30655790769491936,0.01869417081832012,1.491754001252039,0.23397985699380253,0.5982863363116986,0.8322661933055011,0.10014488106186654,0.03750417121424037,0.023035427731665902,0.02189869834345629,0.001052320873878947,0.09593224499584903,0.10287716659559168,0.007558857977809202,0.0010894616106040865,0.05478701879749635,0.006511266357739923,0.07128062572534312,0.0012281203610446064,0.23218439949903583,0.17413404700992186,0.15360190493353035,0.01532426797279248,0.8322661933055011,1.491754001252039,1.0
002673,17873730,14369,0.123529447966373,0.3001179943973642,0.4697955043519176,0.30746531361948515,0.27396262559633605,0.012435456952745734,1.3632384510675724,0.04614806198818039,0.6062988531213127,0.6524469151094932,0.09593359640097505,0.04383063859642056,0.025662466647980026,0.03634680617867675,0.0007171418612679054,0.13492835574891196,0.14685384639915675,0.017252470525178573,0.0010833217241169022,0.04519812036995076,0.0023209481177124194,0.07592086262912107,8.9516849588754e-05,0.18217948911614978,0.09912536443148688,0.17794517428650874,0.010545476517772172,0.6524469151094932,1.3632384510675724,1.0000000000000002
002766,8912480,6020,0.2203905085902016,0.19173630684164228,0.46601551981042316,0.36060445577437483,0.1871084142685313,0.01493411485916378,1.3441578550526903,0.05388870437857929,0.5775810997612337,0.631469804139813,0.08490911620559036,0.0583422347090821,0.03060876433944312,0.032255892860348634,0.0006507728488591278,0.10249964095291098,0.07813762274922356,0.008810117946968746,0.0022889251925390015,0.07845178895212107,0.004544189720481841,0.1358349191246432,0.001559610792955496,0.19805935048381595,0.07381783745938279,0.18370352584241423,0.010434806024810154,0.631469804139813,1.3441578550526903,0.9999999999999999
