secucode,total_volume,total_trades,buy_big_threshold,sell_big_threshold,buy_long_threshold,sell_long_threshold,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,big_order_ratio_buy,big_order_ratio_sell,long_order_ratio_buy,long_order_ratio_sell,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_复合因子,验证_传统大单,订单类型总和
300022,8146800,6884,7245.911619821036,4144.464132268217,9.336586015084123,1.079610023796775,0.20949342072961163,0.19998036038690037,0.4648940688368439,0.3033829233564099,0.20455884519074974,0.042752982766239504,1.3392619187902,0.05542028772033192,0.5934477340796387,0.6488680217999706,0.02832766239505081,0.46731551423590934,0.22980825101685068,0.29546775130737946,0.15993608367228357,0.08069426032307163,0.020056954877988902,0.02467226395640006,0.00020867088918348308,0.11837776795797122,0.07302253645603182,0.0065056218392497665,0.002074434133647567,0.08895517258310011,0.0041979673000441895,0.1157019934207296,0.000638287425737713,0.1612780478224579,0.10728138655668483,0.15650304414003044,0.039831590317670744,0.6488680217999706,1.3392619187902,0.9999999999999999
300037,15172866,42342,963.1952924724903,1729.1861058699333,-0.9033649966284716,0.25322341141088245,0.19880265205004777,0.2063981188524304,0.4110843000920195,0.6712570321256379,0.0,0.328742967874362,1.2273693710865172,0.0058835291895413255,1.328742967874362,1.3346264970639035,0.08221686001840392,0.27440838883378205,0.41552123187378964,1.0,0.30532331963535025,0.0,0.0,0.13631913707008286,0.04739579193541945,0.0,0.0,0.1077992120934832,0.09859890675894718,0.0,0.0,0.1788051776111382,0.019997474438909563,0.0,0.0,0.2483335053509337,0.16275079474108584,1.3346264970639035,1.2273693710865172,1.0
300050,10616395,12582,3051.7186201957174,3105.370402576162,1.164442133651987,-0.033981822259817385,0.20929929604164124,0.20842291568842342,0.45005861217484844,0.0,0.7408155970082123,0.2591844029917877,1.3178394360797614,0.03233640044478381,1.2591844029917878,1.2915208034365717,0.05012418999104686,0.3644889524717851,0.3516134159910984,0.2664918137021141,1.0,0.0,0.10270736912106228,0.0,0.02951180697402461,0.0,0.1994376622196141,0.0,0.008985253468809327,0.0,0.11023515986358835,0.0,0.0990641361780529,0.0,0.3284354058039476,0.0,0.12162320637090086,1.2915208034365717,1.3178394360797614,1.0
300115,162561490,320685,2448.244109387966,2057.8536562416202,-0.8992093133194632,-1.4687681229352494,0.20760612491925362,0.212439871214271,0.3873997279429464,0.0,0.0,1.0,1.1948454520194174,-0.0326462681905782,2.0,1.9673537318094219,0.07747994558858928,0.3355535806164928,0.2834682008824859,1.0,1.0,0.0,0.0,0.0,0.192554275923529,0.0,0.0,0.0,0.212439871214271,0.0,0.0,0.0,0.20760612491925362,0.0,0.0,0.0,0.3873997279429464,1.9673537318094219,1.1948454520194174,1.0
300265,11282900,15087,2682.9664142377915,2813.865304438724,0.2112289699634533,0.2145040609262736,0.21819594253250493,0.1747509062386443,0.45478290155899637,0.24914277357771494,0.25575135825009526,0.018257717430802366,1.302512651889142,0.061836052787847096,0.5414095666894149,0.603245619477262,0.007010573522764535,0.36402200570027177,0.3125869954265261,0.27639689799164846,0.27235368197786175,0.08498311604286132,0.030487995107640765,0.036045786101091035,0.0007533524182612626,0.06952556523588793,0.09739056448253552,0.0060476473247126185,0.001787129195508247,0.1058634748158718,0.009817511455388242,0.10168183711634421,0.0008331191449006904,0.21647599464676634,0.11805528720453075,0.10536750303556709,0.014884116672132165,0.603245619477262,1.302512651889142,1.0
300271,33992299,32609,6765.696585794833,3042.1183001442973,0.7398774236417349,-2.278814658780882,0.20673385462983837,0.20445083752646445,0.45637233892300133,0.0,0.7471749704249189,0.25282502957508113,1.3239293700023054,0.04518764676669851,1.2528250295750811,1.2980126763417796,0.05341542800620811,0.4937287251985648,0.21849796068570027,0.2555736146462633,1.0,0.0,0.10577442849628971,0.0,0.02666854042440613,0.0,0.18929519889196078,0.0,0.015155638634503657,0.0,0.1309404815484825,0.0,0.07579337308135586,0.0,0.3211648614881859,0.0,0.13520747743481545,1.2980126763417796,1.3239293700023054,0.9999999999999999
300383,39518155,32963,4947.299033763557,4260.197231990922,-0.14450002919518612,-1.541757828148707,0.20726276315278383,0.21701359792733238,0.4431864544283507,0.0,0.0,1.0,1.3106492699368175,0.018910093348234458,2.0,2.0189100933482345,0.08863729088567014,0.38148833540636473,0.33640748718259866,1.0,1.0,0.0,0.0,0.0,0.13253718449153307,0.0,0.0,0.0,0.21701359792733238,0.0,0.0,0.0,0.20726276315278383,0.0,0.0,0.0,0.4431864544283507,2.0189100933482345,1.3106492699368175,1.0
300436,8188400,30667,626.3834487974207,978.092162984828,-0.3298472413553979,0.4598065734459065,0.15762481070783058,0.25172133750183184,0.3828837135459919,0.7453843241658932,0.0,0.25461567583410677,1.1751135753016462,-0.026462434663670542,1.2546156758341067,1.2281532411704361,0.07657674270919838,0.25512766165585155,0.44363648221214985,1.0,0.2565298203280399,0.0,0.0,0.16479532020907625,0.0429748180352694,0.0,0.0,0.15275206389526647,0.09896927360656539,0.0,0.0,0.14877082213863516,0.008853988569195448,0.0,0.0,0.27906611792291536,0.10381759562307655,1.2281532411704361,1.1751135753016462,1.0
300443,6732250,21627,1171.9316193706168,898.1463509369117,0.4661437611885466,-0.9225792588080268,0.19213754688254298,0.18860975156894055,0.38040506517137657,0.0,0.6905195142782874,0.30948048572171266,1.1415574287942367,-0.00034223328010696275,1.3094804857217128,1.3091382524416058,0.04059777934568681,0.34419938040412446,0.2556526564017201,0.34355204142969437,1.0,0.0,0.17624716848007724,0.0,0.06260046789706264,0.0,0.17741616844294256,0.0,0.011193583125997995,0.0,0.07759664302424896,0.0,0.11454090385829403,0.0,0.2592595343310186,0.0,0.12114553084035798,1.3091382524416058,1.1415574287942367,1.0
300476,33896766,164523,798.0985486456167,695.1909675688751,-1.8669058873832456,-0.6170193662007742,0.252308258551863,0.1691565502148494,0.32671405879841164,0.0,0.0,1.0,1.0748929263635358,-0.0947507499683008,2.0,1.9052492500316993,0.06534281175968233,0.3806580234982343,0.2460750168669426,1.0,1.0,0.0,0.0,0.0,0.2518211324348759,0.0,0.0,0.0,0.1691565502148494,0.0,0.0,0.0,0.252308258551863,0.0,0.0,0.0,0.32671405879841164,1.9052492500316993,1.0748929263635358,1.0
