secucode,total_volume,total_trades,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,buy_big_threshold,sell_big_threshold,buy_long_threshold,sell_long_threshold,big_order_ratio_buy,big_order_ratio_sell,long_order_ratio_buy,long_order_ratio_sell,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_复合因子,验证_传统大单
300050,10616395,12582,0.19087458595879297,0.19268235592213742,0.5215333453587588,0.24168317022868874,0.1524803852908638,0.003334465230428973,1.426623632598448,0.13797640347782847,0.40083248598041044,0.5388088894582389,0.013933241933820287,2263.9411893476145,2254.153264625338,1.8143269459785962,0.9006232240583509,0.4092354156731839,0.3981878874582737,0.25282149101891593,0.16269273565410905,0.060650531559912756,0.015476063202245207,0.018679504671783594,0.00010361332636926188,0.13770258171441435,0.04771826971396599,0.0070825360209374275,0.00017896847281963416,0.09956336402328662,0.005717194961189745,0.08547157486133476,0.00012245211298185496,0.30458550195240475,0.08356885741346286,0.13044955467463296,0.0029294313182582224,0.5388088894582389,1.426623632598448
300115,162561490,320685,0.1893438661272113,0.19496452696145933,0.4880476796810856,0.0,0.0,1.0,1.3604037524508419,0.10373928659241499,2.0,2.103739286592415,0.09760953593621711,1676.734593178293,1387.9600404168334,-0.5638141783775383,-1.0286079657133267,0.40533857211905766,0.34785849041894695,1.0,1.0,0.0,0.0,0.0,0.12764392723024376,0.0,0.0,0.0,0.19496452696145933,0.0,0.0,0.0,0.1893438661272113,0.0,0.0,0.0,0.4880476796810856,2.103739286592415,1.3604037524508419
300265,11282900,15087,0.20523252000815392,0.15418651233282224,0.5310953744161518,0.22997217027537248,0.2000420104760301,0.01566086733020766,1.42160978117328,0.17167634207517568,0.4613359154118179,0.6330122574869936,0.014519972702053557,1981.2599416874114,2011.006726715781,0.8378568246993745,1.1935448792200036,0.41598727381189105,0.3616358454298403,0.2524690130575993,0.20123284947305628,0.07297184234549628,0.01529553572219908,0.02086369639011247,0.0003545187850641236,0.08604055694901133,0.06318295828200196,0.004602806016183783,0.00036019108562514954,0.10653555380265711,0.006587136285883948,0.09143624422799103,0.0006735856916218348,0.28877699882122504,0.11497638018594511,0.11306942364108519,0.014272571767896551,0.6330122574869936,1.42160978117328
300271,33992299,32609,0.18813837804851033,0.18847007082398282,0.527259071238459,0.0,0.7815151014057625,0.21848489859423748,1.4311265913494111,0.15065062236596594,1.2184848985942374,1.3691355209602034,0.07017364138859805,5102.25361659095,2116.606415791523,1.470854330900031,-1.2045318149876634,0.5431935968597627,0.2554202827440277,0.2189886227728541,1.0,0.0,0.08210577342826973,0.0,0.014026706460778072,0.0,0.1763908642954688,0.0,0.012079206528514002,0.0,0.12821551140156776,0.0,0.05992286664694259,0.0,0.39480295228045625,0.0,0.1324561189580028,1.3691355209602034,1.4311265913494111
300383,39518155,32963,0.18675193717925342,0.20110435317640715,0.5141449796935105,0.0,0.7457952427181886,0.25420475728181136,1.4161462497426816,0.12628868933784987,1.2542047572818114,1.3804934466196612,0.06441532505755898,3611.1944272543933,3058.594246049132,0.34556878624319065,-0.7135358008724917,0.4217152564997118,0.37960743864332736,0.2490974729241877,1.0,0.0,0.07844022576458845,0.0,0.019558504186240475,0.0,0.19206835440571554,0.0,0.009035998770691597,0.0,0.10395186718610724,0.0,0.0828000699931462,0.0,0.3713347953617774,0.0,0.1428101843317331,1.3804934466196612,1.4161462497426816
300436,8188400,30667,0.17214535196131112,0.19947669874456547,0.4889606028039666,0.23811733672023838,0.2185768892579747,0.020455766694348104,1.34954325631381,0.11733855209808997,0.49760575936690926,0.6149443114649993,0.02269320013677885,481.6497051117642,761.2730503081843,0.28707831633157666,0.7899507197616853,0.3573222030195324,0.49519026967098184,0.18065021032380082,0.23931261616721558,0.10381820624297787,0.02322737042645694,0.011590176347027503,0.0007815934736944947,0.11940061550486053,0.07586341654047189,0.0034677104196179963,0.0007449562796150652,0.08376483806360217,0.007828147134971424,0.0785983830785013,0.0019539836842362365,0.21586634751599823,0.11165795515607445,0.14446106687509158,0.016975233256802304,0.6149443114649993,1.34954325631381
300443,6732250,21627,0.19478896357087155,0.16532630249916447,0.46623818188569943,0.26823276022132275,0.2098717367893349,0.01913030561847822,1.2925916298414348,0.10612291581566341,0.5163651082476141,0.6224880240632775,0.01331421144491069,879.2740753200285,648.7675393071604,1.0566814780970155,0.090062505490069,0.42904702455264254,0.30619133490544226,0.32029407684838396,0.19114995144957692,0.11766957555052174,0.01835196256823499,0.03634758067510862,0.0012774332503991978,0.07214675628504587,0.08671825912584946,0.004574993501429685,0.0018862935868394668,0.07889635708715512,0.004337331501355416,0.11074573879460804,0.0008095361877529801,0.2340525084481414,0.10046418359389506,0.1165644472501764,0.015157042593486577,0.6224880240632775,1.2925916298414348
300476,33896766,164523,0.23094837424903603,0.1778997441820851,0.39948536683411034,0.0,0.0,1.0,1.2078188520993418,-0.009362751597010777,2.0,1.9906372484029893,0.07989707336682207,574.4781644558649,475.1564427929846,-1.2131594303823117,-0.3928108592805235,0.42820760623134757,0.3112938616485233,1.0,1.0,0.0,0.0,0.0,0.1916665147347685,0.0,0.0,0.0,0.1778997441820851,0.0,0.0,0.0,0.23094837424903603,0.0,0.0,0.0,0.39948536683411034,1.9906372484029893,1.2078188520993418
300541,9338299,11503,0.17563230733991275,0.21542895553033803,0.4978093976215583,0.2740167133222014,0.25236962320439726,0.031334400408468396,1.3866800581133674,0.10674813475130751,0.5890551373435354,0.6958032720948429,0.028997529421578804,2568.3938073415375,2075.2886457987306,3.8691627740609555,0.9790300200720052,0.41893419108058766,0.35173433017473704,0.2767104233678171,0.211770842388942,0.07079726189962433,0.019835518224464648,0.020097129038168515,0.00039943034593345104,0.11213166337895156,0.09347141272730719,0.008172473380858762,0.0016534060432205051,0.07612639089838524,0.005519527699851975,0.09274740506809645,0.001238983673579096,0.18322394688797178,0.13354316455277349,0.15299970583507766,0.02804258034573534,0.6958032720948429,1.3866800581133674
300599,4712047,7306,0.15980315985812535,0.19387476398261733,0.5531141773416097,0.2760899880667574,0.18256375626134458,0.01028236772680748,1.4599062785239623,0.19943625350086702,0.47921847978171694,0.678654733282584,0.03224076500085844,1493.3312830547466,1798.4369402161908,2.400187607025876,4.513246003541623,0.35669312893512184,0.4512729263618943,0.20093074185600876,0.16835477689570216,0.0660755293824531,0.010175832286902062,0.016712269635680628,0.0002442675126118224,0.1301020554336576,0.057024049208337695,0.006557659547962913,0.00019099979265911396,0.08987601354570529,0.004350550832790929,0.06493992950409876,0.0006366659755303799,0.24501028958327453,0.11101332393331391,0.1878801293790151,0.009210434446006163,0.678654733282584,1.4599062785239623
